Code,Borough,Neighborhood,Year,Population,Hectares,Square_Kilometres,Population_per_hectare,Population_per_square_kilometre,address,Latitude,Longitude
E05000319,Havering,Romford Town,2020,18554,286.6,2.866,64.73831124,6473.831124,"Romford Town, Havering, England",51.5760462,0.1822646
E05000549,Southwark,Rotherhithe,2020,16625,149.2,1.492,111.4276139,11142.761390000001,"Rotherhithe, Southwark, England",51.5007782,-0.0519063
E05000301,Harrow,Roxbourne,2020,13255,150.6,1.506,88.01460823,8801.460823000001,"Roxbourne, Harrow, England",51.5654065,-0.3733966
E05000302,Harrow,Roxeth,2020,11738,157.6,1.5759999999999998,74.47969543,7447.969543000001,"Roxeth, Harrow, England",51.560482199999996,-0.3500747050918491
E05000491,Newham,Royal Docks,2020,18150,479.3,4.793,37.86772376,3786.772376,"Royal Docks, Newham, England",51.5036827,0.0496178
E05000397,Kensington and Chelsea,Royal Hospital,2020,7214,90.1,0.9009999999999999,80.06659267,8006.659267,"Royal Hospital, Kensington and Chelsea, England",51.48709375,-0.1586739012452613
E05000451,Lewisham,Rushey Green,2020,17930,178.1,1.781,100.6737788,10067.37788,"Rushey Green, Lewisham, England",51.4474811,-0.0182346
E05000160,Croydon,Sanderstead,2020,13064,634.6,6.346,20.58619603,2058.619603,"Sanderstead, Croydon, England",51.3340837,-0.0767435
E05000262,Hammersmith and Fulham,Sands End,2020,14688,137.7,1.3769999999999998,106.66666670000001,10666.66667,"Sands End, Hammersmith and Fulham, England",51.4725454,-0.1871122
E05000161,Croydon,Selhurst,2020,19471,227.7,2.2769999999999997,85.51163812,8551.163812,"Selhurst, Croydon, England",51.3922136,-0.0886537
E05000162,Croydon,Selsdon and Ballards,2020,12042,640.6,6.406000000000001,18.79800187,1879.800187,"Selsdon and Ballards, Croydon, England",51.3420195,-0.05573585977814851
E05000512,Redbridge,Seven Kings,2020,17498,208.2,2.082,84.04418828,8404.418828,"Seven Kings, Redbridge, England",51.5639058,0.0968813
E05000278,Haringey,Seven Sisters,2020,18259,129.2,1.2919999999999998,141.3235294,14132.35294,"Seven Sisters, Haringey, England",51.5824738,-0.0749325
E05000586,Tower Hamlets,Shadwell,2020,16063,96.3,0.963,166.8016615,16680.16615,"Shadwell, Tower Hamlets, England",51.51125,-0.0569241
E05000623,Wandsworth,Shaftesbury,2020,14397,94.8,0.948,151.8670886,15186.708859999999,"Shaftesbury, Wandsworth, England",51.4343487,-0.17257833965659836
E05000263,Hammersmith and Fulham,Shepherd's Bush Green,2020,13042,106.7,1.067,122.230553,12223.0553,"Shepherd's Bush Green, Hammersmith and Fulham, England",51.50423455,-0.22179901163685573
E05000163,Croydon,Shirley,2020,14465,280.0,2.8,51.66071429,5166.071429,"Shirley, Croydon, England",51.3749243,-0.0466335
E05000227,Greenwich,Shooters Hill,2020,13587,378.0,3.78,35.94444444,3594.4444439999997,"Shooters Hill, Greenwich, England",51.4692255,0.066306
E05000126,Bromley,Shortlands,2020,10487,245.6,2.456,42.6995114,4269.95114,"Shortlands, Bromley, England",51.4060917,-0.001434
E05000083,Bexley,Sidcup,2020,12243,270.2,2.702,45.31088083,4531.088083,"Sidcup, Bexley, England",51.4264002,0.101044
E05000513,Redbridge,Snaresbrook,2020,13115,198.6,1.986,66.03726083,6603.726083,"Snaresbrook, Redbridge, England",51.5831734,0.0228777
E05000188,Ealing,South Acton,2020,18409,171.9,1.719,107.0913322,10709.13322,"South Acton, Ealing, England",51.4997225,-0.2698979
E05000550,Southwark,South Bermondsey,2020,15175,97.3,0.973,155.9609455,15596.09455,"South Bermondsey, Southwark, England",51.4879512,-0.0544564
E05000551,Southwark,South Camberwell,2020,13377,133.1,1.331,100.5033809,10050.338090000001,"South Camberwell, Southwark, England",51.4745706,-0.0925416
E05000321,Havering,South Hornchurch,2020,16526,684.7,6.847,24.13611801,2413.611801,"South Hornchurch, Havering, England",51.5330916,0.1912727
E05000164,Croydon,South Norwood,2020,17753,238.1,2.381,74.56110878,7456.110878,"South Norwood, Croydon, England",51.3980951,-0.0768216
E05000528,Richmond upon Thames,South Richmond,2020,11488,269.2,2.6919999999999997,42.67459138,4267.459138,"South Richmond, Richmond upon Thames, England",51.4632072,-0.3004127
E05000338,Hillingdon,South Ruislip,2020,13732,741.1,7.4110000000000005,18.52921333,1852.9213329999998,"South Ruislip, Hillingdon, England",51.5569909,-0.3990635
E05000529,Richmond upon Thames,South Twickenham,2020,10591,172.7,1.7269999999999999,61.32599884,6132.599884,"South Twickenham, Richmond upon Thames, England",51.4467444,-0.3281887
E05000189,Ealing,Southall Broadway,2020,14839,162.2,1.6219999999999999,91.48581998,9148.581998,"Southall Broadway, Ealing, England",51.5105118,-0.3760928
E05000190,Ealing,Southall Green,2020,17057,158.5,1.585,107.61514199999999,10761.5142,"Southall Green, Ealing, England",51.5060205,-0.3775015
E05000207,Enfield,Southbury,2020,16219,286.4,2.864,56.63058659,5663.058659,"Southbury, Enfield, England",51.6480314,-0.0526302
